GUT_GENOME000159	s__UBA1191 sp900066305	species__UBA1191 sp900066305	species	UBA1191 sp900066305	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__UBA1191;s__UBA1191 sp900066305
GUT_GENOME174216	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME247657	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME035488	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME141069	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME156954	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME016171	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME217645	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME249046	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME034225	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME016247	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME189831	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME000234	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME123259	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME122639	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME278644	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME158570	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME122811	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME199630	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME125459	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME048101	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME172996	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME257887	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME252348	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME136661	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME131198	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME131512	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME124691	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME222936	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME215833	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME240186	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME248912	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME049931	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME033283	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME131219	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME008753	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME285321	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME124514	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME036002	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME158217	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME191294	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME157714	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME104671	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME174115	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME174420	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME250551	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME152993	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME010026	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME098047	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME244197	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME126845	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME195405	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME170206	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME249933	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME093957	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME217478	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME258921	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME158723	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME260321	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME217431	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME141047	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME122470	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME215605	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME173559	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME124919	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME136744	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME195149	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME217924	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME194660	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME034093	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME259151	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME259253	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME120928	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME175451	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME025071	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME016227	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME191871	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME259399	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME216932	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME129028	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME248642	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME255840	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME247967	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME111607	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME096980	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME097978	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME123481	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME159657	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME158047	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME125557	s__Oscillibacter welbionis	species__Oscillibacter welbionis	species	Oscillibacter welbionis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis
GUT_GENOME089971	s__UMGS1975 sp900546685	species__UMGS1975 sp900546685	species	UMGS1975 sp900546685	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__QAND01;g__UMGS1975;s__UMGS1975 sp900546685
GUT_GENOME158142	s__UMGS1975 sp900546685	species__UMGS1975 sp900546685	species	UMGS1975 sp900546685	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__QAND01;g__UMGS1975;s__UMGS1975 sp900546685
GUT_GENOME075594	s__UMGS1975 sp900546685	species__UMGS1975 sp900546685	species	UMGS1975 sp900546685	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__QAND01;g__UMGS1975;s__UMGS1975 sp900546685
GUT_GENOME220543	s__UMGS1975 sp900546685	species__UMGS1975 sp900546685	species	UMGS1975 sp900546685	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__QAND01;g__UMGS1975;s__UMGS1975 sp900546685
GUT_GENOME214773	s__UMGS1975 sp900546685	species__UMGS1975 sp900546685	species	UMGS1975 sp900546685	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__QAND01;g__UMGS1975;s__UMGS1975 sp900546685
GUT_GENOME072725	s__UMGS1975 sp900546685	species__UMGS1975 sp900546685	species	UMGS1975 sp900546685	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__QAND01;g__UMGS1975;s__UMGS1975 sp900546685
GUT_GENOME217313	s__UMGS1975 sp900546685	species__UMGS1975 sp900546685	species	UMGS1975 sp900546685	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__QAND01;g__UMGS1975;s__UMGS1975 sp900546685
GUT_GENOME158155	s__Oscillibacter sp900548505	species__Oscillibacter sp900548505	species	Oscillibacter sp900548505	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp900548505
GUT_GENOME158523	g__Oscillibacter	genus__Oscillibacter	genus	Oscillibacter	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__
GUT_GENOME158752	g__Oscillibacter	genus__Oscillibacter	genus	Oscillibacter	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__
GUT_GENOME157730	s__ER4 sp900317525	species__ER4 sp900317525	species	ER4 sp900317525	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp900317525
GUT_GENOME255430	s__ER4 sp900317525	species__ER4 sp900317525	species	ER4 sp900317525	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp900317525
GUT_GENOME219567	s__ER4 sp900317525	species__ER4 sp900317525	species	ER4 sp900317525	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp900317525
GUT_GENOME095632	s__ER4 sp900317525	species__ER4 sp900317525	species	ER4 sp900317525	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp900317525
GUT_GENOME162695	s__ER4 sp900317525	species__ER4 sp900317525	species	ER4 sp900317525	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp900317525
GUT_GENOME208975	s__ER4 sp900317525	species__ER4 sp900317525	species	ER4 sp900317525	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp900317525
GUT_GENOME253602	s__ER4 sp900317525	species__ER4 sp900317525	species	ER4 sp900317525	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp900317525
GUT_GENOME007435	s__ER4 sp900317525	species__ER4 sp900317525	species	ER4 sp900317525	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp900317525
GUT_GENOME111100	s__ER4 sp900317525	species__ER4 sp900317525	species	ER4 sp900317525	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp900317525
GUT_GENOME014666	s__ER4 sp900317525	species__ER4 sp900317525	species	ER4 sp900317525	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp900317525
GUT_GENOME257541	s__ER4 sp900317525	species__ER4 sp900317525	species	ER4 sp900317525	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp900317525
GUT_GENOME210274	s__ER4 sp900317525	species__ER4 sp900317525	species	ER4 sp900317525	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp900317525
